PID,LotArea,LotShape,BldgTp
0526301100,31770,0,1
0526350040,11622,1,1
0526351010,14267,0,1
0526353030,11160,1,1
0527105010,13830,0,1
0527105030,9978,0,1
0527127150,4920,1,0
0527145080,5005,0,0
0527146030,5389,0,0
0527162130,7500,1,1
0527163010,10000,0,1
0527165230,7980,0,1
0527166040,8402,0,1
0527180040,10176,1,1
0527182190,6820,0,0
0527258010,11394,1,1
0527276150,19138,1,1
0527302110,13175,1,1
0527358140,11751,0,1
0527358200,10625,1,1
0527368020,7500,1,1
0527402200,11241,0,1
0527402250,12537,0,1
0527403020,8450,1,1
0527404120,8400,1,1
0527425090,10500,1,1
0527427230,5858,0,0
0527451180,1680,1,0
0527451330,1680,1,0
0527451410,1680,1,0
0527452190,4043,1,0
0527453130,2280,1,0
0527453150,2280,1,0
0527454200,2280,1,0
0528112020,11478,1,1
0528120090,12883,0,1
0528120100,12182,1,1
0528120120,11520,1,1
0528138020,14122,0,1
0528138060,10171,0,1
0528175010,6371,0,0
0528176070,13650,1,1
0528181050,7132,0,0
0528188120,2628,1,0
0528218150,18494,0,1
0528228285,3203,1,0
0528228440,3182,1,0
0528231020,13300,0,1
0528240130,8577,0,1
0528250100,7750,0,1
0528292020,9505,0,1
0528328100,14774,0,1
0528344070,17433,0,1
0528358010,10593,0,1
0528363130,12256,0,1
0528382020,11764,0,1
0528382030,16770,0,1
0528386040,14720,0,1
0528458110,9000,1,1
0528477080,12552,1,1
0528480090,10440,1,1
0531367050,10142,0,1
0531369060,11920,1,1
0531380080,8880,0,1
0531451110,8012,1,0
0531451280,11218,1,1
0531452020,7892,1,0
0531452050,7175,1,0
0531452180,9453,0,1
0531453010,9672,1,1
0531453040,8400,1,1
0531477050,9800,1,1
0532354090,11782,0,1
0532376160,8450,1,1
0532377060,9819,0,1
0532377100,7500,1,1
0532378110,6897,0,1
0532479070,15410,0,1
0533130020,10186,0,1
0533130130,13143,0,1
0533130160,11134,1,1
0533205060,4835,0,0
0533208090,3515,1,0
0533210060,3215,1,0
0533212010,3182,1,0
0533212020,2544,1,0
0533212060,2544,1,0
0533221090,2117,1,0
0533221110,2980,1,0
0533223020,2572,1,0
0533223100,2403,0,0
0533238045,12853,0,1
0533244030,7379,0,1
0533253060,4420,0,0
0533253210,3880,0,0
0533352170,13517,0,1
0534102025,8000,1,1
0534129040,10456,0,1
0534151175,10791,1,1
0534152050,10603,0,1
0534152100,10421,1,1
0534176060,9360,1,1
0534202160,9600,1,1
0534251320,9790,1,1
0534276360,9320,0,1
0534401110,9900,1,1
0534401140,9680,1,1
0534403360,10600,0,1
0534403410,14112,0,1
0534425310,8800,1,1
0534430080,9717,1,1
0534431050,9724,1,1
0534431070,17360,1,1
0534450180,7207,0,1
0534451150,5350,0,1
0534475100,9920,1,1
0534479320,7800,1,1
0535101020,11380,0,1
0535125010,19900,1,1
0535126040,16492,0,1
0535152050,8197,1,1
0535152130,8050,0,1
0535152150,10552,0,1
0535152250,8400,1,1
0535153070,8760,1,1
0535154050,12160,0,1
0535175070,9300,1,1
0535175180,10725,0,1
0535179020,10032,1,1
0535180130,8382,1,1
0535302080,10950,1,1
0535302200,10895,1,1
0535304060,13587,1,1
0535304180,7922,1,1
0535325400,7898,1,1
0535350030,10200,1,1
0535350040,5868,1,1
0535353190,17503,1,1
0535401080,9830,0,1
0535425010,11275,1,1
0535450210,8064,1,1
0535453070,7500,1,1
0535454070,8520,1,1
0535456110,7200,1,1
0535457010,10000,0,1
0535457090,7635,0,1
0535476350,9760,1,1
0535477020,7700,1,1
0902104060,8800,1,1
0902106130,4485,1,1
0902106140,8960,1,1
0902110090,5805,1,1
0902125080,5790,1,1
0902125160,4608,1,1
0902128170,7200,1,1
0902206040,5500,1,1
0902206130,6900,1,1
0902206220,11851,1,1
0902206240,8239,1,1
0902207130,9656,1,1
0902207140,8520,1,1
0902305110,9600,1,1
0902327040,10800,1,1
0902401060,9045,1,1
0902402010,7407,1,1
0902402130,7740,1,1
0902402250,11340,1,1
0902403070,10560,1,1
0903204040,5830,1,1
0903206120,7793,0,1
0903225150,5000,1,1
0903226160,6000,1,1
0903227020,6000,1,1
0903227150,6360,1,1
0903228150,6000,1,1
0903232190,6240,1,1
0903233120,6240,1,1
0903234050,6120,1,1
0903425110,10300,0,1
0903426180,8094,1,1
0903426200,12900,1,1
0903430080,3068,1,1
0903476030,7630,1,1
0904100140,24090,1,1
0904101110,15263,0,1
0904300150,10632,0,1
0904350045,6001,0,1
0904351040,6449,0,1
0904352190,6048,1,1
0905101100,6342,1,1
0905102060,11625,1,1
0905103060,11341,0,1
0905104210,8521,1,1
0905105070,8246,0,1
0905105200,7800,1,1
0905106140,9364,1,1
0905106170,7832,1,1
0905107250,11227,1,1
0905107320,11616,0,1
0905109130,14000,1,1
0905109170,20062,0,1
0905201030,9259,1,1
0905202090,9600,1,1
0905352140,17082,0,1
0905378040,18600,1,1
0905426200,11479,1,1
0905451320,9571,1,1
0905452110,9350,1,1
0905452160,9525,1,1
0905453040,10420,1,1
0905453080,17485,0,1
0905475510,11200,0,1
0906201030,9206,1,1
0906201120,11980,1,1
0906223090,9938,1,1
0906225210,9069,1,1
0906378100,10475,0,1
0906425045,14235,0,1
0906477110,8816,1,1
0907125090,11105,1,1
0907180050,9337,0,1
0907185060,8750,1,1
0907200280,15240,0,1
0907200290,10900,0,1
0907200340,10650,1,1
0907203070,7480,1,1
0907250030,10389,1,1
0907252120,11423,1,1
0907262050,9548,0,1
0907280040,9375,1,1
0907290040,12137,0,1
0907290170,4435,1,0
0907290240,4426,1,0
0907401090,10635,0,1
0907410080,8400,1,1
0907414030,8773,1,1
0908102110,8842,1,1
0908102170,10044,0,1
0908102300,11792,1,1
0908103350,6305,1,1
0908152080,7819,1,1
0908203100,6410,1,1
0908208020,8546,1,1
0908225320,8741,1,1
0908226130,12180,1,1
0909100080,4853,1,1
0909100110,6858,1,1
0909101070,8212,1,1
0909176140,5000,1,1
0909176150,7890,1,1
0909250030,9839,1,1
0909250060,9638,1,1
0909281080,10452,0,1
0909428280,17500,1,1
0909452114,19645,0,1
0909455030,3907,0,0
0909455040,3907,0,0
0909475140,15602,0,1
0910202060,5436,1,1
0910203250,8154,1,1
0910205120,9140,1,1
0911128180,7500,1,1
0911370510,3811,0,0
0914467040,11050,1,1
0914475090,9620,1,1
0914476520,9196,0,1
0914478045,12328,0,1
0916125360,57200,0,1
0916386010,11896,0,1
0916386020,9803,1,1
0916386060,9802,1,1
0916386090,12003,1,1
0916455170,11316,1,1
0916475110,14191,1,1
0923201020,15300,1,1
0923202105,10114,1,1
0923205015,11875,1,1
0923225300,1974,1,0
0923225390,2394,1,0
0923225440,2592,1,0
0923226250,1476,1,0
0923226320,1491,1,0
0923228270,1900,1,0
0923228370,1890,1,0
0923230190,6953,1,1
0923251080,26142,0,1
0923276030,12887,1,1
0923426070,10475,1,1
0924100050,10544,0,1
0924151040,9892,1,1
0924152030,12961,1,1
0526302110,13008,0,1
0526351100,10200,1,1
0526355080,13860,1,1
0527105070,10179,0,1
0527105130,11792,0,1
0527107130,8400,1,1
0527110020,8530,0,1
0527127100,7296,0,0
0527131030,5664,0,0
0527132090,7380,0,1
0527146010,8013,0,0
0527161040,8923,0,1
0527162110,10141,0,1
0527162120,7500,1,1
0527163040,7837,0,1
0527163130,8803,0,1
0527164020,7250,1,1
0527164060,9636,0,1
0527164090,8125,1,1
0527165130,9248,0,1
0527166010,10762,0,1
0527180100,11851,1,1
0527182110,5814,0,0
0527254020,11844,0,1
0527258020,16158,0,1
0527276160,11900,1,1
0527301320,13005,0,1
0527302175,17043,0,1
0527326040,11900,1,1
0527326150,16635,0,1
0527352150,13250,0,1
0527353020,10928,1,1
0527353060,12388,0,1
0527354100,14115,1,1
0527354200,11088,1,1
0527355150,9600,1,1
0527359180,10304,0,1
0527364030,7000,1,1
0527365030,8004,0,1
0527366030,7500,1,1
0527368010,8470,1,1
0527375100,9373,0,1
0527451650,1680,1,0
0527452060,4928,0,0
0527453050,2308,1,0
0527453060,2280,1,0
0527453140,2280,1,0
0527454050,2308,1,0
0527454130,2349,1,0
0527455050,2364,1,0
0527455060,2289,1,0
0527455080,2364,1,0
0527455090,2104,1,0
0527455240,7150,1,1
0527455280,10710,1,1
0528106070,13173,0,1
0528108010,14230,1,1
0528108040,12350,1,1
0528116010,16870,0,1
0528118060,23303,0,1
0528120020,11146,0,1
0528120160,9591,1,1
0528120170,10872,0,1
0528142040,8834,1,1
0528142090,11362,0,1
0528142130,10655,0,1
0528142150,12878,0,1
0528144020,9541,0,1
0528172060,9658,0,1
0528174050,6904,0,0
0528174060,5381,0,0
0528174070,5122,0,0
0528175050,10307,0,0
0528175060,5001,0,0
0528178010,15262,0,1
0528186010,16770,1,1
0528186180,6240,1,0
0528188020,3480,1,0
0528188060,2268,1,0
0528218090,10928,1,1
0528228295,3635,1,0
0528228435,3182,1,0
0528228450,3182,1,0
0528228455,3182,1,0
0528228460,3182,1,0
0528235200,9434,0,1
0528240030,7984,0,1
0528240060,7750,1,1
0528250040,8174,0,1
0528253010,5063,1,0
0528275070,8795,0,1
0528280230,12224,0,1
0528290030,9734,0,1
0528290120,8123,0,1
0528290180,8433,0,1
0528290190,7750,1,1
0528292030,15896,0,1
0528292040,24682,0,1
0528292070,8755,0,1
0528294050,7848,0,1
0528315090,9430,1,1
0528321010,15138,0,1
0528327070,12720,1,1
0528344040,16545,0,1
0528344100,12203,0,1
0528354050,10208,0,1
0528363050,10750,0,1
0528365070,9900,1,1
0528385050,9085,1,1
0528387030,11692,0,1
0528390100,46589,0,1
0528390210,29959,0,1
0528427020,9612,1,1
0528431020,11194,0,1
0528431070,10206,1,1
0528435030,9262,1,1
0528435050,10130,1,1
0528439060,9139,0,1
0528441020,9675,1,1
0528456180,8640,1,1
0528458140,12606,0,1
0528458180,7500,1,1
0528477070,10603,1,1
0528480040,10574,1,1
0528480130,8125,1,1
0528480170,8125,1,1
0528482040,10625,1,1
0528482130,9375,1,1
0531363010,9605,1,1
0531363030,7500,1,1
0531363050,7500,1,1
0531369010,10628,0,1
0531369020,10141,0,1
0531375040,13072,1,1
0531375090,13072,1,1
0531375130,12450,1,1
0531376090,7328,1,1
0531379050,11492,0,1
0531382070,10994,0,1
0531385020,8529,0,1
0531450120,7703,1,1
0531452010,10762,1,0
0531452070,7175,1,0
0531452260,9109,1,1
0531453100,10274,0,1
0531479020,9000,1,1
0532353020,9750,0,1
0532353130,7064,1,1
0532354160,8499,0,1
0532354230,9079,0,1
0532376070,9316,0,1
0532376110,7791,0,1
0532377130,10000,1,1
0532378120,8281,0,1
0532378180,7150,1,1
0532478020,15676,0,1
0533135020,11949,1,1
0533206020,2880,1,0
0533210010,3951,1,0
0533210020,3000,1,0
0533213010,3830,0,0
0533213020,4217,0,0
0533213040,3230,1,0
0533221040,2998,1,0
0533223030,3768,1,0
0533236050,2645,1,0
0533253070,3782,0,0
0533254050,15417,1,1
0533254110,9600,1,1
0533352150,9991,0,1
0534125080,11700,1,1
0534128100,12936,0,1
0534128190,10400,1,1
0534129080,17871,0,1
0534129370,9600,1,1
0534129380,9000,1,1
0534152120,9650,1,1
0534175080,10140,1,1
0534177230,8400,1,1
0534200030,7130,1,1
0534202170,9600,1,1
0534226120,9100,1,1
0534250400,9600,1,1
0534251030,16500,1,1
0534252240,9790,1,1
0534275060,7436,1,1
0534275100,8125,1,1
0534276040,9100,1,1
0534277090,9450,0,1
0534278070,13495,0,1
0534400050,10004,1,1
0534400290,9350,1,1
0534402060,10500,0,1
0534402140,11000,0,1
0534402170,8970,0,1
0534403370,12095,0,1
0534426110,9600,1,1
0534429150,11475,1,1
0534431130,9768,1,1
0534451110,7015,0,1
0534475185,12160,1,1
0534475250,9900,1,1
0534476150,9600,1,1
0534476320,9600,1,1
0534477110,9600,1,1
0534478230,9600,1,1
0535104120,10573,0,1
0535105100,9500,0,1
0535125070,14695,0,1
0535125090,13600,1,1
0535126010,13000,1,1
0535126100,13560,1,1
0535150070,12513,0,1
0535151040,8760,1,1
0535152230,8400,1,1
0535154060,12285,0,1
0535154130,9240,0,1
0535175030,9600,1,1
0535175050,12400,0,1
0535178040,8750,1,1
0535178120,8750,1,1
0535179160,10400,1,1
0535300120,19296,1,1
0535301170,8532,1,1
0535303110,8128,0,1
0535303150,10634,1,1
0535325290,10434,1,1
0535352090,8480,1,1
0535353040,7626,1,1
0535353240,11419,1,1
0535354070,9600,1,1
0535354100,8000,1,1
0535375010,5470,1,1
0535375050,10410,1,1
0535376060,10800,1,1
0535377150,8146,1,1
0535378020,9022,1,1
0535378120,10230,1,1
0535381040,10410,1,1
0535382100,7200,1,1
0535383110,10800,1,1
0535383120,10800,1,1
0535402090,10143,1,1
0535403190,8010,1,1
0535403210,10454,0,1
0535403280,8712,0,1
0535425070,17600,0,1
0535450070,12144,1,1
0535450200,8064,1,1
0535451250,7200,1,1
0535452090,7350,1,1
0535452100,7560,1,1
0535452140,7200,1,1
0535453100,8000,1,1
0535453200,7931,1,1
0535454100,10800,1,1
0535454160,8064,1,1
0535475010,7570,1,1
0535476240,7936,1,1
0535477150,6600,1,1
0902101010,3950,1,1
0902102080,10440,1,1
0902103100,4080,1,1
0902103170,5720,1,1
0902105050,15660,1,1
0902105060,9900,1,1
0902106010,6406,1,1
0902110080,3378,1,1
0902134120,10134,1,1
0902201110,6000,1,1
0902202150,6000,1,1
0902204080,7404,1,1
0902205030,5925,1,1
0902206260,5784,1,1
0902207170,8520,1,1
0902301060,9600,1,1
0902301080,3500,1,1
0902327070,8400,1,1
0902329080,3600,1,1
0902330040,17671,1,1
0902331010,3300,1,1
0902401130,9000,1,1
0902402150,7200,1,1
0902405100,8820,1,1
0902406070,9720,1,1
0902477120,7879,1,1
0902477130,9392,1,1
0903201020,6615,1,1
0903201080,7264,1,1
0903202170,4960,1,1
0903205040,8854,1,1
0903226130,6000,1,1
0903226170,6000,1,1
0903227070,6000,1,1
0903227090,6000,1,1
0903228070,6000,1,1
0903228120,6000,1,1
0903230100,6911,1,1
0903231010,6120,1,1
0903231030,6120,1,1
0903231130,6120,1,1
0903232060,6120,1,1
0903234220,6120,1,1
0903236040,8635,1,1
0903400220,11888,0,1
0903425245,11414,0,1
0903427120,8094,1,1
0903429080,2500,1,1
0903429110,9928,1,1
