PID,OverallQuality,OverallCondition
0526301100,6,5
0526350040,5,6
0526351010,6,6
0526353030,7,5
0527105010,5,5
0527105030,6,6
0527127150,8,5
0527145080,8,5
0527146030,8,5
0527162130,7,5
0527163010,6,5
0527165230,6,7
0527166040,6,5
0527180040,7,5
0527182190,8,5
0527258010,9,2
0527276150,4,5
0527302110,6,6
0527358140,6,6
0527358200,7,6
0527368020,7,5
0527402200,6,7
0527402250,5,6
0527403020,5,6
0527404120,4,5
0527425090,4,5
0527427230,7,5
0527451180,6,5
0527451330,5,5
0527451410,6,5
0527452190,6,5
0527453130,6,6
0527453150,7,6
0527454200,6,5
0528112020,8,5
0528120090,8,5
0528120100,7,5
0528120120,9,5
0528138020,8,5
0528138060,7,5
0528175010,7,5
0528176070,8,5
0528181050,8,5
0528188120,7,5
0528218150,6,5
0528228285,7,5
0528228440,8,5
0528231020,7,5
0528240130,7,5
0528250100,7,5
0528292020,7,5
0528328100,9,5
0528344070,8,5
0528358010,7,5
0528363130,8,5
0528382020,8,7
0528382030,7,5
0528386040,8,5
0528458110,8,5
0528477080,7,5
0528480090,6,5
0531367050,7,5
0531369060,7,5
0531380080,7,5
0531451110,6,5
0531451280,6,5
0531452020,6,5
0531452050,6,5
0531452180,7,7
0531453010,6,5
0531453040,6,6
0531477050,5,5
0532354090,5,7
0532376160,5,8
0532377060,5,5
0532377100,5,5
0532378110,5,8
0532479070,6,6
0533130020,7,5
0533130130,8,5
0533130160,8,5
0533205060,7,5
0533208090,7,5
0533210060,7,5
0533212010,7,5
0533212020,7,5
0533212060,6,5
0533221090,6,5
0533221110,6,5
0533223020,7,5
0533223100,7,5
0533238045,8,5
0533244030,8,5
0533253060,8,5
0533253210,8,6
0533352170,6,8
0534102025,7,5
0534129040,6,6
0534151175,6,5
0534152050,6,7
0534152100,7,5
0534176060,6,7
0534202160,5,5
0534251320,6,5
0534276360,4,5
0534401110,5,5
0534401140,5,6
0534403360,6,5
0534403410,5,7
0534425310,6,7
0534430080,5,6
0534431050,5,7
0534431070,6,6
0534450180,5,7
0534451150,3,2
0534475100,5,5
0534479320,5,6
0535101020,6,8
0535125010,7,5
0535126040,6,6
0535152050,7,5
0535152130,5,5
0535152150,5,5
0535152250,5,6
0535153070,6,6
0535154050,5,5
0535175070,5,5
0535175180,5,5
0535179020,6,5
0535180130,4,5
0535302080,5,7
0535302200,5,6
0535304060,5,5
0535304180,5,7
0535325400,4,7
0535350030,5,7
0535350040,5,7
0535353190,6,5
0535401080,5,7
0535425010,7,7
0535450210,6,8
0535453070,5,7
0535454070,5,4
0535456110,5,7
0535457010,6,6
0535457090,5,6
0535476350,6,7
0535477020,6,5
0902104060,4,7
0902106130,5,7
0902106140,5,6
0902110090,5,7
0902125080,3,6
0902125160,4,6
0902128170,5,7
0902206040,5,7
0902206130,6,7
0902206220,5,7
0902206240,5,6
0902207130,2,2
0902207140,6,8
0902305110,8,9
0902327040,5,6
0902401060,5,3
0902402010,6,7
0902402130,4,7
0902402250,4,6
0902403070,6,7
0903204040,5,6
0903206120,7,7
0903225150,4,7
0903226160,6,7
0903227020,6,6
0903227150,5,6
0903228150,6,7
0903232190,5,7
0903233120,5,5
0903234050,6,5
0903425110,7,6
0903426180,4,5
0903426200,6,8
0903430080,6,8
0903476030,5,9
0904100140,7,7
0904101110,5,5
0904300150,5,3
0904350045,6,5
0904351040,4,1
0904352190,5,7
0905101100,5,8
0905102060,5,4
0905103060,5,6
0905104210,5,5
0905105070,5,8
0905105200,5,7
0905106140,6,7
0905106170,5,5
0905107250,5,5
0905107320,6,5
0905109130,7,5
0905109170,7,7
0905201030,4,4
0905202090,4,7
0905352140,6,5
0905378040,3,4
0905426200,6,7
0905451320,5,6
0905452110,4,6
0905452160,5,7
0905453040,6,5
0905453080,7,5
0905475510,5,3
0906201030,6,5
0906201120,7,5
0906223090,7,5
0906225210,6,6
0906378100,8,5
0906425045,6,8
0906477110,6,7
0907125090,5,5
0907180050,7,5
0907185060,6,5
0907200280,5,8
0907200290,6,7
0907200340,5,6
0907203070,5,6
0907250030,8,5
0907252120,8,5
0907262050,7,6
0907280040,7,5
0907290040,7,5
0907290170,6,5
0907290240,6,5
0907401090,8,5
0907410080,7,5
0907414030,7,5
0908102110,5,6
0908102170,5,6
0908102300,4,5
0908103350,6,6
0908152080,6,5
0908203100,4,5
0908208020,4,5
0908225320,6,4
0908226130,4,4
0909100080,5,6
0909100110,6,4
0909101070,3,3
0909176140,5,6
0909176150,6,6
0909250030,5,2
0909250060,6,7
0909281080,7,6
0909428280,7,8
0909452114,7,6
0909455030,8,6
0909455040,8,5
0909475140,7,8
0910202060,4,8
0910203250,2,5
0910205120,6,5
0911128180,4,4
0911370510,8,5
0914467040,8,5
0914475090,6,7
0914476520,7,5
0914478045,6,5
0916125360,5,5
0916386010,7,5
0916386020,7,5
0916386060,5,5
0916386090,8,5
0916455170,7,5
0916475110,8,5
0923201020,5,5
0923202105,5,5
0923205015,5,5
0923225300,4,5
0923225390,5,6
0923225440,5,3
0923226250,4,7
0923226320,4,6
0923228270,4,4
0923228370,4,6
0923230190,5,7
0923251080,5,7
0923276030,5,7
0923426070,5,5
0924100050,5,5
0924151040,8,5
0924152030,6,5
0526302110,6,5
0526351100,6,5
0526355080,8,7
0527105070,6,5
0527105130,8,5
0527107130,7,5
0527110020,7,5
0527127100,8,5
0527131030,8,5
0527132090,8,5
0527146010,8,5
0527161040,7,5
0527162110,7,5
0527162120,6,5
0527163040,6,7
0527163130,6,5
0527164020,6,5
0527164060,6,5
0527164090,6,5
0527165130,6,6
0527166010,7,5
0527180100,7,5
0527182110,8,5
0527254020,8,5
0527258020,7,5
0527276160,5,6
0527301320,7,7
0527302175,6,5
0527326040,7,5
0527326150,6,7
0527352150,7,6
0527353020,6,6
0527353060,7,7
0527354100,7,5
0527354200,6,5
0527355150,8,5
0527359180,5,7
0527364030,7,5
0527365030,8,5
0527366030,8,5
0527368010,8,5
0527375100,5,7
0527451650,5,7
0527452060,6,6
0527453050,6,5
0527453060,6,6
0527453140,7,5
0527454050,6,5
0527454130,6,5
0527455050,6,5
0527455060,6,6
0527455080,6,5
0527455090,7,6
0527455240,5,5
0527455280,5,7
0528106070,9,5
0528108010,8,5
0528108040,9,5
0528116010,8,5
0528118060,8,5
0528120020,8,5
0528120160,8,5
0528120170,9,5
0528142040,9,5
0528142090,8,5
0528142130,8,5
0528142150,7,5
0528144020,7,5
0528172060,8,5
0528174050,6,5
0528174060,6,5
0528174070,6,5
0528175050,7,5
0528175060,7,5
0528178010,8,5
0528186010,8,5
0528186180,8,5
0528188020,7,5
0528188060,7,5
0528218090,7,5
0528228295,7,5
0528228435,7,5
0528228450,7,5
0528228455,7,5
0528228460,7,5
0528235200,7,5
0528240030,7,5
0528240060,8,5
0528250040,7,5
0528253010,7,5
0528275070,7,5
0528280230,6,5
0528290030,7,5
0528290120,6,5
0528290180,6,5
0528290190,7,5
0528292030,7,5
0528292040,6,5
0528292070,7,5
0528294050,7,6
0528315090,8,5
0528321010,8,5
0528327070,8,5
0528344040,8,5
0528344100,8,5
0528354050,7,5
0528363050,8,5
0528365070,7,5
0528385050,7,5
0528387030,8,5
0528390100,8,7
0528390210,7,6
0528427020,8,5
0528431020,8,5
0528431070,8,5
0528435030,8,5
0528435050,8,5
0528439060,8,5
0528441020,7,5
0528456180,7,5
0528458140,9,5
0528458180,8,5
0528477070,8,5
0528480040,8,5
0528480130,7,5
0528480170,8,5
0528482040,7,5
0528482130,7,5
0531363010,7,6
0531363030,7,5
0531363050,6,5
0531369010,7,5
0531369020,8,5
0531375040,7,5
0531375090,5,5
0531375130,5,5
0531376090,7,5
0531379050,7,5
0531382070,8,5
0531385020,7,5
0531450120,6,6
0531452010,6,6
0531452070,6,5
0531452260,7,5
0531453100,6,7
0531479020,6,3
0532353020,5,5
0532353130,5,6
0532354160,5,6
0532354230,5,5
0532376070,5,5
0532376110,5,8
0532377130,5,6
0532378120,5,5
0532378180,5,6
0532478020,8,8
0533135020,7,8
0533206020,7,5
0533210010,6,5
0533210020,6,5
0533213010,6,5
0533213020,6,5
0533213040,6,5
0533221040,6,5
0533223030,7,5
0533236050,8,5
0533253070,8,5
0533254050,7,5
0533254110,8,5
0533352150,4,4
0534125080,6,6
0534128100,6,6
0534128190,6,7
0534129080,6,5
0534129370,5,5
0534129380,6,5
0534152120,6,5
0534175080,7,5
0534177230,8,6
0534200030,5,6
0534202170,5,5
0534226120,5,6
0534250400,7,5
0534251030,6,5
0534252240,6,5
0534275060,4,7
0534275100,5,7
0534276040,6,6
0534277090,4,5
0534278070,5,6
0534400050,6,6
0534400290,5,6
0534402060,5,5
0534402140,5,6
0534402170,5,6
0534403370,6,6
0534426110,5,6
0534429150,6,6
0534431130,5,5
0534451110,5,4
0534475185,6,4
0534475250,6,5
0534476150,6,5
0534476320,5,6
0534477110,6,8
0534478230,5,7
0535104120,6,6
0535105100,6,5
0535125070,6,8
0535125090,7,6
0535126010,6,6
0535126100,6,3
0535150070,4,4
0535151040,5,7
0535152230,6,3
0535154060,7,6
0535154130,6,8
0535175030,6,6
0535175050,6,7
0535178040,5,5
0535178120,5,5
0535179160,4,5
0535300120,6,5
0535301170,5,6
0535303110,6,7
0535303150,5,6
0535325290,4,5
0535352090,5,6
0535353040,5,8
0535353240,7,7
0535354070,5,6
0535354100,6,6
0535375010,3,5
0535375050,5,7
0535376060,5,7
0535377150,4,8
0535378020,5,8
0535378120,5,7
0535381040,4,5
0535382100,7,9
0535383110,5,7
0535383120,3,5
0535402090,6,7
0535403190,6,9
0535403210,6,6
0535403280,5,7
0535425070,6,5
0535450070,5,7
0535450200,6,5
0535451250,5,4
0535452090,5,6
0535452100,5,6
0535452140,5,7
0535453100,5,5
0535453200,5,5
0535454100,4,7
0535454160,6,7
0535475010,6,5
0535476240,6,6
0535477150,5,5
0902101010,6,8
0902102080,5,6
0902103100,6,8
0902103170,5,6
0902105050,5,8
0902105060,5,8
0902106010,5,6
0902110080,7,8
0902134120,5,5
0902201110,5,7
0902202150,5,4
0902204080,4,6
0902205030,3,6
0902206260,5,8
0902207170,5,8
0902301060,4,4
0902301080,5,7
0902327070,6,7
0902329080,6,7
0902330040,8,9
0902331010,4,3
0902401130,7,9
0902402150,5,4
0902405100,5,6
0902406070,6,7
0902477120,4,5
0902477130,3,3
0903201020,6,6
0903201080,7,7
0903202170,5,7
0903205040,6,6
0903226130,4,6
0903226170,6,9
0903227070,5,8
0903227090,6,6
0903228070,5,5
0903228120,6,7
0903230100,5,5
0903231010,5,6
0903231030,4,7
0903231130,5,7
0903232060,5,6
0903234220,5,6
0903236040,5,5
0903400220,6,6
0903425245,7,8
0903427120,6,6
0903429080,7,8
0903429110,7,8
0903430060,6,6
0903451090,6,5
0903458170,4,5
0903475100,6,7
0903476090,7,5
0903481120,6,6
0903481130,4,6
0903484110,6,7
0904351200,6,6
0904351240,5,3
0905101260,5,6
0905101490,5,6
0905103040,6,5
0905103070,5,6
0905105190,5,7
0905108190,5,5
0905108220,5,6
0905200220,5,5
0905200260,5,5
0905200350,6,5
0905225090,5,5
0905229040,4,5
0905377010,4,6
0905377130,4,5
0905401100,5,5
0905450020,6,5
0905451300,5,5
0905451340,5,3
0905452040,6,7
0905452050,4,6
0905475160,5,6
0905476230,5,5
0905478030,5,4
0905480030,6,5
0905480210,4,5
0906201021,7,6
0906201050,6,5
0906201130,8,8
0906203120,7,7
0906223060,7,5
0906223080,7,5
0906223210,8,5
0906340110,8,5
0906340120,8,5
0906378110,8,5
0906380050,8,5
0906380060,8,5
0906380100,9,5
0906380130,7,5
0906380210,7,5
0906380220,8,5
0906392070,7,5
0906392110,8,5
0906392130,6,5
0906402060,7,5
0906426210,7,5
0906475070,5,5
0907126010,5,5
0907126050,5,7
0907130100,6,5
0907131090,7,6
0907131190,7,5
0907135040,5,5
0907135170,5,5
0907194010,7,5
0907194110,7,5
0907194160,7,5
0907196060,7,5
0907200230,5,5
0907201220,5,5
0907201280,5,7
0907202050,5,7
0907202080,5,8
0907202130,5,7
0907227030,5,6
0907227080,5,5
0907227110,5,8
0907227290,5,7
0907250070,7,5
0907252060,8,5
0907252210,8,5
0907252220,8,5
0907253130,9,5
0907265010,7,5
0907275010,8,5
0907275090,7,5
0907275140,8,5
0907290070,7,5
0907290090,7,5
0907290180,6,5
0907290210,6,5
0907410130,8,5
0907412020,7,5
0907414020,7,5
0907414080,6,5
0907420040,6,5
0908102270,5,7
0908102290,4,6
0908151050,6,6
0908152100,6,6
0908201040,5,9
0908203090,4,5
0908225290,5,5
0908229020,5,8
0908275110,5,5
0909101010,6,8
0909101100,5,6
0909101140,5,5
0909129100,5,5
0909175080,2,5
0909178160,6,7
0909250080,6,6
0909250220,4,3
0909251050,6,8
0909251170,6,6
0909252020,7,9
0909253010,6,6
0909253180,7,7
0909254010,7,8
0909257050,7,9
0909275080,5,6
0909276110,6,7
0909282130,5,6
0909425060,7,7
0909425130,6,6
0909426090,5,7
0909427200,6,8
0909451040,6,6
0909451100,6,6
0909451140,6,6
0909451180,6,6
0909452050,6,6
0909475040,7,9
0909475300,6,9
0910202070,5,7
0910204050,5,6
0910205020,5,5
0911104060,4,6
0914465020,8,5
0914465040,7,5
0914465055,7,5
0914474070,6,5
0916380070,9,5
0916382010,7,5
0916386140,8,5
0916403010,6,5
0916403200,6,8
0916455070,8,5
0916460110,7,5
0923201100,5,7
0923203110,6,5
0923203190,6,5
0923225360,4,5
0923225490,5,6
0923226270,4,8
0923227080,5,5
0923228110,4,4
0923228150,4,6
0923228230,4,4
0923230200,5,8
0923252075,6,5
0923275040,5,6
0923275140,5,5
0923276260,5,6
0923400110,5,5
0924100040,6,5
0924100060,5,7
0526353050,6,7
0526354070,6,5
0527105050,6,5
0527106050,6,5
0527106140,6,5
0527106150,6,5
0527107010,6,5
0527107090,5,5
0527107210,7,5
0527127140,8,5
0527131110,8,5
0527140090,8,5
0527145090,8,5
0527161010,6,5
0527162180,6,5
0527212050,9,5
0527226020,6,2
0527276040,6,5
0527301170,7,6
0527301245,7,6
0527302050,6,6
0527302070,7,7
0527302185,7,5
0527302210,7,5
0527325070,6,7
0527325240,6,5
0527326130,5,6
0527354160,7,6
0527357110,5,6
0527357180,7,7
0527358120,6,5
0527359030,6,5
0527359070,7,6
0527378020,5,6
0527380240,8,5
0527402060,6,8
0527402130,4,6
0527403360,5,5
0527425035,4,5
0527427110,6,5
0527450110,6,5
0527450250,6,5
0527450520,6,6
0527451060,6,6
0527451290,6,5
0527451400,6,3
0527451550,5,5
0527452150,6,6
0527453160,6,6
0527454120,7,6
0527455270,5,5
0528108150,8,5
0528110080,8,5
0528110110,8,5
0528118030,9,5
0528120130,9,5
0528142140,8,5
0528178090,8,5
0528181010,7,5
0528186160,8,5
0528186170,8,5
0528188090,7,5
0528188150,7,5
0528190010,7,5
0528228345,7,5
0528228405,7,5
0528228445,7,5
0528228465,7,5
0528228540,7,5
0528235020,6,5
0528235120,6,5
0528235180,7,5
0528240040,6,5
0528290010,7,5
0528292060,7,5
0528294060,7,5
0528315060,8,5
0528315110,8,5
0528326030,8,5
0528326110,9,5
0528346050,8,5
0528354100,7,5
0528363020,8,7
0528363110,8,6
0528365060,7,5
0528365080,7,5
0528387050,7,5
0528390020,8,5
0528427010,8,5
0528427070,6,5
0528429050,8,5
0528429070,7,5
0528429080,9,5
0528431060,8,5
0528431080,7,5
0528435020,8,5
0528458030,8,5
0528458050,7,5
0528477040,7,5
0528478030,8,5
0528478040,7,5
0528480060,8,5
0528482020,8,5
0528488140,7,5
0528490080,6,5
0531363060,7,5
0531371070,6,5
0531373060,7,5
0531375050,6,5
0531375110,5,5
0531376070,7,5
0531382090,6,5
0531382110,6,5
0531450030,7,5
0531450090,6,5
0531450170,6,5
0531451020,6,5
0531452140,6,5
0532351050,5,5
0532353050,5,6
0532354150,5,8
0532376170,5,5
0532377020,5,5
0532378200,6,8
0532477030,6,5
0532479020,5,4
0533125080,6,5
0533125140,9,5
0533206050,7,5
0533208080,7,5
0533208140,7,5
0533212050,6,5
0533212140,7,5
0533212150,7,5
0533213070,7,5
0533213120,6,5
0533215020,9,5
0533215030,9,5
0533215040,9,5
0533215070,9,5
0533215080,9,5
0533217050,7,5
0533217060,7,5
0533234020,7,5
0533236060,8,5
0533236070,8,5
0533250050,8,5
0533250110,8,5
0533251120,6,6
0534126090,7,6
0534127210,6,6
0534127230,6,5
0534128050,6,7
0534129060,7,7
0534177180,6,7
0534201240,5,6
0534202130,5,8
0534204030,5,7
0534250335,7,6
0534250410,6,6
0534251280,6,8
0534252270,7,5
0534277060,4,6
0534277070,4,7
0534400030,5,6
0534400060,6,5
0534401130,6,7
0534401190,6,6
0534403050,6,7
0534403080,5,8
0534403100,6,5
0534403260,5,5
0534426040,5,7
0534427040,6,6
0534428020,4,5
0534428100,5,7
0534451170,3,6
0534452060,5,6
0534477080,6,5
0534477090,5,8
0534477270,6,6
0534479150,5,5
0535104020,6,5
0535105030,5,6
0535105060,6,9
0535126140,6,7
0535150210,5,7
0535150280,5,5
0535151160,5,7
0535152200,5,4
0535153140,5,7
0535153150,6,6
0535176100,6,6
0535178060,6,5
0535179060,6,5
0535180100,6,7
0535180120,5,5
0535301080,5,6
0535302130,5,6
0535302140,5,5
0535303030,6,5
0535305030,5,7
0535305160,5,5
0535352080,5,5
0535375160,5,8
0535380050,5,6
0535380110,4,7
0535380140,5,5
0535402120,6,6
0535403010,5,6
0535425060,7,7
0535426260,6,5
0535427070,7,7
0535451050,5,7
0535453020,5,6
0535453040,5,5
0535453210,5,6
0535454150,6,6
0535455060,6,7
0535455080,6,6
0535455090,6,5
0535456070,5,6
0535456100,5,7
0535475020,6,5
0535476370,6,6
0535477090,5,5
0902100020,6,5
0902100030,5,5
0902102060,5,8
0902103150,5,7
0902105010,5,5
0902105020,6,7
0902105130,5,4
0902107030,6,7
0902109110,7,5
0902109120,4,6
0902128075,7,6
0902128150,6,6
0902134100,5,6
0902136110,5,9
0902201120,5,5
0902201140,5,7
0902202090,5,6
0902205070,2,5
0902205090,5,6
0902205140,4,7
0902207120,3,1
0902300110,5,5
0902300215,5,8
0902300260,7,8
0902301140,5,5
0902301150,5,7
0902305080,6,5
0902306120,5,9
0902306130,7,9
0902326060,6,7
0902328040,6,6
0902330010,8,5
0902401010,7,7
0902405070,7,7
0902406020,5,6
0902406090,5,5
0902427150,4,6
0903201030,5,7
0903204010,7,7
0903204095,5,6
0903206070,5,5
0903225050,5,6
0903225140,5,7
0903225160,6,9
0903226060,6,7
0903226150,5,7
0903227080,6,7
0903228040,6,7
0903228060,6,5
0903228090,6,7
0903230110,5,7
0903231080,4,7
0903232090,5,7
0903233080,7,5
0903234090,5,5
0903234100,7,5
0903235010,6,8
0903235100,4,6
0903236010,5,5
0903400180,6,7
0903401020,7,6
0903401030,6,4
0903401050,5,5
0903425420,6,7
0903426160,6,8
0903427090,8,7
0903429010,6,8
0903452025,6,6
0903453050,6,6
0903454100,6,6
0903455030,5,6
0903455140,6,7
0903456130,6,6
0903458110,6,7
0903475020,5,7
0903476110,6,7
0903481010,5,8
0903484020,6,7
0904100020,5,6
0904100040,5,5
0904100160,5,5
0904351280,5,7
0905100020,5,6
0905102170,5,5
0905103030,6,5
0905104080,5,7
0905104110,5,7
0905104180,5,7
0905107380,5,5
0905108170,5,5
0905200160,5,3
0905200510,5,6
0905201020,5,8
0905201110,6,8
0905201120,5,5
0905202230,6,7
0905225040,5,6
0905226030,5,8
0905351089,6,5
0905352030,7,5
0905352070,7,6
0905401045,7,7
0905401060,4,6
0905403060,7,5
0905403150,6,5
0905426030,5,7
0905427050,6,7
0905451330,5,6
0905452120,6,8
0905476120,5,8
0905477050,5,7
0905479110,5,5
0905480150,6,5
0905480240,5,6
0906204150,7,5
0906204280,6,5
0906223110,7,5
0906223140,7,5
0906223220,7,5
0906378190,7,5
0906380030,8,5
0906412010,9,5
0906420130,7,5
0906424010,8,5
0906475100,6,6
0906476030,6,5
0907126030,5,7
0907135020,5,6
0907135260,5,5
0907175080,7,5
0907194020,7,5
0907196040,7,5
0907196050,7,5
0907200110,5,6
0907201060,5,8
0907202010,5,6
0907202160,6,6
0907202190,5,6
0907202240,5,6
0907203090,5,6
0907227050,5,7
0907227300,5,7
0907250020,8,5
0907253060,7,5
0907255020,8,5
0907255030,9,5
0907255060,8,5
0907260010,8,5
0907262030,7,5
0907262060,7,5
0907262070,7,5
0907265100,8,5
0907285080,7,5
0907290150,6,5
0907290250,6,5
0907295020,6,5
0907412090,8,5
0907418010,7,6
0907418040,7,5
0907420080,7,5
0907425010,6,5
0907425015,6,5
0907425030,6,5
0907425035,6,5
0908102030,5,7
0908102140,5,5
0908102260,5,6
0908103260,5,5
0908103280,6,6
0908127120,5,6
0908128050,4,5
0908128110,7,5
0908151040,6,6
0908152110,6,7
0908152270,4,5
0908225170,4,5
0908226120,5,7
0908250090,4,5
0908275130,5,6
0908275180,4,6
0908275280,5,7
0909100150,4,7
0909100170,5,6
0909101060,3,3
0909101180,5,6
0909131170,6,8
0909175050,5,8
0909175100,6,5
0909177120,7,8
0909201110,5,6
